title,link
Rice hoarders should be fined equal to their stocks: Food minister,https://www.tbsnews.net/economy/bazaar/fine-rice-hoarders-so-they-cant-continue-be-business-food-minister-781298
Broiler price drops to Tk200 per kg in Dhaka,https://www.tbsnews.net/economy/bazaar/broiler-price-drops-tk200-kg-dhaka-608514
Bangabazar traders want to do business in tents until market constructed,https://www.tbsnews.net/economy/bazaar/bangabazar-traders-want-do-business-tents-until-market-constructed-628154
Commerce secy condemn 'irresponsible business' conduct of Bangladeshi onion sellers,https://www.tbsnews.net/economy/bazaar/onion-sellers-not-engaged-responsible-business-commerce-secretary-754918
 Kitchen market management shake-up coming in March: State Minister Titu,https://www.tbsnews.net/economy/bazaar/govt-website-detailed-commodity-prices-coming-march-titu-792926
"Rains, disregarded directives, untamed syndicates drive up kitchen essential prices",https://www.tbsnews.net/economy/bazaar/rains-disregarded-directives-and-untamed-syndicates-new-recipe-high-prices-kitchen
"India greenlights limited onion exports to Bangladesh, 3 other countries",https://www.tbsnews.net/economy/bazaar/india-greenlights-limited-onion-exports-bangladesh-3-other-countries-797514
It’s agri ministry’s job to fix prices of essential commodities: Commerce minister ,https://www.tbsnews.net/economy/bazaar/its-agri-ministrys-job-fix-prices-essential-commodities-commerce-minister-498030
Onion prices increase by Tk15 per kg in at Bhomra after India imposes hefty duty,https://www.tbsnews.net/economy/bazaar/onion-prices-increase-tk15-kg-bhomra-after-india-imposes-hefty-duty-685934
"Dhaka shoppers feel the pinch as vegetable, egg prices keep rising",https://www.tbsnews.net/economy/bazaar/dhaka-shoppers-feel-pinch-vegetable-egg-prices-keep-rising-853746
"Nearly 6 lakh people get milk, egg and meat at fair prices in Ramadan: Livestock ministry",https://www.tbsnews.net/economy/bazaar/nearly-6-lakh-people-get-milk-egg-and-meat-fair-prices-ramadan-livestock-ministry
"Not just potato, entrepreneurs now investing in cold storage for onion, carrot",https://www.tbsnews.net/economy/bazaar/not-just-potato-entrepreneurs-now-investing-cold-storage-onion-carrot-823816
Bashundhara begins truck sale of commodities in 64 districts,https://www.tbsnews.net/economy/bazaar/bashundhara-begins-truck-sale-commodities-64-districts-852991
"Cardamom prices drop as demand falls, credit sales halt",https://www.tbsnews.net/economy/bazaar/cardamom-prices-drop-demand-falls-credit-sales-halt-918361
State Minister Titu hopeful about commodity market conditions ahead of Ramadan,https://www.tbsnews.net/economy/bazaar/state-minister-titu-hopeful-about-commodity-market-conditions-ahead-ramadan-791306
Onion price drops slightly; import of 40m eggs allowed,https://www.tbsnews.net/economy/bazaar/onion-price-drops-slightly-import-40m-eggs-allowed-702810
"Onion, oil get costlier as potato prices fall in a week",https://www.tbsnews.net/economy/bazaar/onion-oil-get-costlier-potato-prices-fall-week-1045126
Eid cooking to get costlier as spice prices go through the roof,https://www.tbsnews.net/economy/bazaar/eid-cooking-get-costlier-spice-prices-go-through-roof-655206
Green chilli prices fall by Tk250-300 per kg in Satkhira as import from India begins,https://www.tbsnews.net/economy/bazaar/green-chilli-prices-fall-tk250-300-kg-satkhira-import-india-begins-659094
"Potato, onion, egg prices continue to soar defying govt price caps",https://www.tbsnews.net/economy/bazaar/potato-onion-egg-prices-continue-soar-defying-govt-price-caps-727682
Food price paradox: How far will the effects reach?,https://www.tbsnews.net/features/panorama/food-price-paradox-how-far-will-effects-reach-773678
Broiler chicken price hikes by Tk40/kg within days,https://www.tbsnews.net/economy/bazaar/broiler-chicken-price-hikes-tk40kg-within-days-826336
Further price hike of Ramadan commodities likely despite ample imports,https://www.tbsnews.net/economy/bazaar/further-price-hike-ramadan-commodities-likely-despite-ample-imports-805894
Govt expands subsidised sale of Ramadan essentials,https://www.tbsnews.net/economy/bazaar/govt-expands-subsidised-sale-ramadan-essentials-1098911
"Supermarket sales plummet amid curfew, internet blackout",https://www.tbsnews.net/bangladesh/supermarket-sales-plummet-amid-curfew-internet-blackout-902661
TCB to sell potatoes at Tk40 per kg from tomorrow!,https://www.tbsnews.net/economy/bazaar/tcb-sell-potatoes-tk40-kg-tomorrow-997296
"Farmers for fixing 'fair prices' of broiler, eggs",https://www.tbsnews.net/economy/bazaar/farmers-seek-govt-intervention-fix-chicken-eggs-prices-594714
"Traders frustrated with Ramadan sales, consumers at a loss",https://www.tbsnews.net/economy/bazaar/traders-frustrated-ramadan-sales-consumers-loss-601346
Rice prices soar in Kushtia amid halt in milling,https://www.tbsnews.net/economy/bazaar/rice-prices-soar-kushtia-amid-halt-milling-1095326
80 teams to monitor markets during Ramadan,https://www.tbsnews.net/economy/bazaar/80-teams-monitor-markets-during-ramadan-1065696
"Prices of chicken, fish rise in Dhaka's kitchen markets",https://www.tbsnews.net/economy/bazaar/prices-chicken-fish-rise-dhakas-kitchen-markets-1083376
"Prices of meat, chicken and egg rise on Friday",https://www.tbsnews.net/economy/bazaar/prices-meat-chicken-and-egg-rise-friday-813396
"Meat prices surge amid high demand, Eid essentials stable",https://www.tbsnews.net/economy/bazaar/meat-prices-surge-amid-high-demand-eid-essentials-stable-1105436
More sacrificial animals in the country than demand: Minister,https://www.tbsnews.net/economy/bazaar/more-sacrificial-animals-country-demand-minister-649534
"62,000 imported eggs come in through Benapole",https://www.tbsnews.net/economy/bazaar/finally-imported-eggs-arrive-costing-just-over-tk7-piece-734430
"Eggs, chicken to be sold at fair prices during Ramadan: Poultry traders ",https://www.tbsnews.net/economy/bazaar/eggs-chicken-be-sold-fair-prices-during-ramadan-poultry-traders-1068361
"Indian onions start reaching Satkhira, leading to prices easing down",https://www.tbsnews.net/economy/bazaar/indian-onions-start-reaching-satkhira-leading-prices-easing-down-644790
"13,968 tonnes of rice imported from India through Benapole in 3 months",https://www.tbsnews.net/economy/bazaar/13968-tonnes-rice-imported-india-through-benapole-3-months-1069266
TCB to procure 2.20cr litres of soybean oil for OMS,https://www.tbsnews.net/economy/bazaar/tcb-procure-220cr-litres-soybean-oil-oms-542326
Onion price goes up in Bangladesh after India extends export restrictions,https://www.tbsnews.net/economy/bazaar/india-bans-onion-export-until-31-march-next-year-753774
Why potato price surging despite surplus production,https://www.tbsnews.net/economy/bazaar/why-potato-price-surging-despite-surplus-production-698274
"Chattogram Meat Bazar aims to break syndicates, offer fair prices",https://www.tbsnews.net/economy/bazaar/chattogram-meat-bazar-aims-break-syndicates-offer-fair-prices-798082
"Potato, onion prices ease; chicken takes an upswing",https://www.tbsnews.net/economy/bazaar/potato-onion-prices-decline-while-chicken-see-rise-1028311
"Prices of cucumbers, chillies jump 60% overnight",https://www.tbsnews.net/economy/bazaar/prices-cucumbers-chillies-jump-50-overnight-877551
Companies involved in illegal syndicates will be brought to book under Special Powers Act: Asif Mahmud,https://www.tbsnews.net/economy/bazaar/companies-involved-syndication-will-be-arrested-under-special-powers-act-asif-mahmud
"Soaring egg prices: Poultry farmers call for importing chicks, feed to break syndicate",https://www.tbsnews.net/economy/bazaar/soaring-egg-prices-poultry-farmers-call-importing-chicks-feed-break-syndicate-707410
13 times more onion yield likely in Rajshahi,https://www.tbsnews.net/agriculture/13-times-more-onion-yield-likely-rajshahi-756842
Ctg Chora Market: Where you can find your stolen goods,https://www.tbsnews.net/economy/bazaar/ctg-chora-market-where-you-can-find-your-stolen-goods-631490
'Send them to jail': PM warns against hoarding,https://www.tbsnews.net/economy/bazaar/send-them-jail-pm-warns-against-hoarding-779570
"Low price, yield hit Faridpur Lalmi melon farmers",https://www.tbsnews.net/economy/bazaar/low-price-yield-hit-faridpur-lalmi-melon-farmers-818841
"Red hot prices leave middle class, poor in crisis",https://www.tbsnews.net/economy/bazaar/red-hot-prices-leave-middle-class-poor-crisis-705458
Bongo Bazar misses Eid vibe a year after the blaze,https://www.tbsnews.net/economy/bazaar/bongo-bazar-misses-eid-vibe-year-after-blaze-816521
No artificial crisis be allowed in food supply chain: Commerce adviser,https://www.tbsnews.net/economy/bazaar/no-artificial-crisis-be-allowed-food-supply-chain-commerce-adviser-998961
Ramadan goods prices soar over 5% in a week,https://www.tbsnews.net/economy/bazaar/ramadan-goods-prices-soar-over-5-week-604058
"Potato, onion, egg prices capped to check soaring food inflation",https://www.tbsnews.net/economy/bazaar/govt-fixes-price-potato-tk35-tk36-kg-700470
"2.4kg hilsa caught in Barguna, priced at Tk14,000",https://www.tbsnews.net/bangladesh/24kg-hilsa-caught-barguna-priced-tk14000-1088751
Consumers grapple with commodity prices as Ramadan begins,https://www.tbsnews.net/economy/bazaar/consumers-grapple-commodity-prices-ramadan-begins-807638
Rising costs and labour shortages threaten the centuries-old tradition of Mirkadim's white cows,https://www.tbsnews.net/economy/bazaar/rising-costs-and-labour-shortages-threaten-centuries-old-tradition-mirkadims-white
300 tonnes of potatoes imported from India through Benapole,https://www.tbsnews.net/bangladesh/300-tonnes-potatoes-imported-india-through-benapole-816896
Egg sales halted in Tejgaon market amid concerns over govt monitoring,https://www.tbsnews.net/economy/bazaar/vendors-stop-selling-eggs-2-days-fear-raids-prices-rise-966786
TCB extends subsidised sales of Ramadan essentials,https://www.tbsnews.net/economy/bazaar/tcb-starts-selling-ramadan-essentials-subsidised-prices-596646
Cold storage owners hike rates overnight: Agriculture minister says on potato prices,https://www.tbsnews.net/economy/bazaar/efforts-are-there-curb-potato-prices-agriculture-minister-708350
Barter system ends at Brahmanbaria's centuries-old dried fish fair,https://www.tbsnews.net/economy/bazaar/barter-system-ends-brahmanbarias-centuries-old-dried-fish-fair-627650
"Are we looking at a scorching summer of inflation, power woes this Ramadan?",https://www.tbsnews.net/analysis/are-we-looking-scorching-summer-inflation-power-woes-ramadan-1045526
Tariff Commission recommends withdrawal of duty on imported onions,https://www.tbsnews.net/economy/bazaar/tariff-commission-recommends-withdrawal-duty-imported-onions-981206
Green chilli price starts falling again,https://www.tbsnews.net/economy/bazaar/green-chilli-price-starts-falling-again-661718
"Potato prices up, onions down; meat, veg stable",https://www.tbsnews.net/economy/bazaar/potato-prices-onions-down-meat-veg-stable-1000031
"No import of eggs, meat under any circumstances: Adviser Farida",https://www.tbsnews.net/economy/bazaar/no-import-eggs-meat-under-any-circumstances-adviser-farida-1065761
"Why no action against companies controlling egg, oil markets? asks Rizvi",https://www.tbsnews.net/economy/bazaar/why-no-action-against-companies-controlling-egg-oil-markets-asks-rizvi-999961
Egg price jumps as each sells for Tk15,https://www.tbsnews.net/economy/bazaar/egg-prices-jump-high-each-sells-tk15-680686
"Sensing increased demand, traders have hiked prices of Eid essentials in Dhaka",https://www.tbsnews.net/economy/bazaar/sensing-increased-demand-traders-have-hiked-prices-eid-essentials-dhaka-657342
"Govt to sell onion at Tk50, potato at Tk30 per kg from tomorrow",https://www.tbsnews.net/economy/bazaar/tcb-start-selling-onion-tk50-kg-3-other-essential-products-tomorrow-738550
"Govt reduces import duties on egg by 20%, edible oil 5%",https://www.tbsnews.net/economy/bazaar/govt-reduces-import-duties-egg-20-edible-oil-5-967701
Rice price sharply declining in city market,https://www.tbsnews.net/economy/bazaar/rice-price-sharply-declining-city-market-850136
"Eggs, imported at lower duty, begin to enter country",https://www.tbsnews.net/economy/bazaar/eggs-imported-lower-duty-begin-enter-country-973436
Crowds flock to Karwan Bazar ahead of first Ramadan; sellers say purchases still lower than other years,https://www.tbsnews.net/economy/bazaar/crowds-flock-karwan-bazar-ahead-first-ramadan-sellers-say-purchases-still-lower-other
"Price caps, raid threats do little to cool potato, onion, egg prices",https://www.tbsnews.net/economy/bazaar/price-caps-raid-threats-do-little-cool-potato-onion-egg-prices-701530
"Millers to display selling price, variety on rice bags from tomorrow",https://www.tbsnews.net/economy/bazaar/millers-display-selling-price-variety-rice-bags-tomorrow-827631
Sugar price hiked by Tk6/kg; palm oil price cut by Tk8/litre,https://www.tbsnews.net/economy/bazaar/sugar-price-rises-tk6-kg-and-palm-oil-decreases-tk4-litre-509346
Pointed gourd selling at Tk5 per kg in Jashore,https://www.tbsnews.net/economy/bazaar/pointed-gourd-selling-tk5-kg-jashore-881186
"Imports cool coarse rice market, fine varieties' prices steady",https://www.tbsnews.net/economy/bazaar/imports-cool-coarse-rice-market-fine-varieties-prices-steady-1060371
Palm oil price still high despite significant global drop,https://www.tbsnews.net/economy/bazaar/palm-oil-price-still-high-despite-significant-global-drop-494770
"Vegetables, spices get dearer ahead of Eid-ul-Adha",https://www.tbsnews.net/economy/bazaar/vegetables-spices-get-dearer-ahead-eid-ul-adha-871566
"At Tk150 per dozen in Dhaka markets, eggs not an affordable protein source any more",https://www.tbsnews.net/economy/bazaar/tk150-dozen-dhaka-markets-eggs-not-affordable-protein-source-any-more-606282
Govt intervenes to keep prices in check ahead of polls,https://www.tbsnews.net/economy/bazaar/govt-intervenes-keep-prices-check-ahead-polls-738982
Big poultry cos made Tk520cr profit in 15 days: Farmers  ,https://www.tbsnews.net/economy/bazaar/big-poultry-cos-made-tk520cr-profit-15-days-farmers-480922
Potato prices skyrocket as production slumps,https://www.tbsnews.net/economy/bazaar/potato-prices-skyrocket-production-slumps-895811
Bottled soybean oil price hiked to Tk199 per litre,https://www.tbsnews.net/economy/bazaar/bottled-soybean-oil-price-hiked-tk199-litre-626094
Rising chicken prices force lower-income people to cut down on protein,https://www.tbsnews.net/economy/bazaar/rising-chicken-prices-force-lower-income-people-cut-down-protein-586366
"806 tonnes of green chilli imported in 3 days, yet prices hit Tk400/kg in Jashore",https://www.tbsnews.net/economy/bazaar/806-tonnes-green-chilli-imported-3-days-price-still-hits-tk400-kg-jashore-968366
Govt allows 4 companies to import eggs in a bid to bring prices down,https://www.tbsnews.net/economy/bazaar/govt-allows-4-companies-import-eggs-bid-bring-prices-down-702422
Sugar selling at higher than govt-fixed rate,https://www.tbsnews.net/economy/bazaar/sugar-selling-higher-govt-fixed-rate-517770
"Tariff cut fails to curb Ramadan commodity prices, triggers surge instead",https://www.tbsnews.net/economy/bazaar/tariff-cut-fails-curb-ramadan-commodity-prices-triggers-surge-instead-794058
Beef now selling at Tk620 per kg in Shariatpur,https://www.tbsnews.net/economy/bazaar/beef-now-selling-tk620-kg-shariatpur-939696
Bangladesh seeks to import more onion and sugar from India before Ramadan,https://www.tbsnews.net/economy/bazaar/bangladesh-seeks-import-more-onion-and-sugar-india-ramadan-790050
Benchmark rice prices to be set to crack down on manipulators,https://www.tbsnews.net/economy/bazaar/benchmark-rice-prices-be-set-crack-down-manipulators-779058
Bangladesh to import one lakh tonnes of rice from India and Pakistan,https://www.tbsnews.net/economy/bazaar/bangladesh-import-one-lakh-tonnes-rice-india-and-pakistan-1044781
Country's onion output rose by 10 lakh tonnes: Abdus Shahid tells JS,https://www.tbsnews.net/economy/bazaar/countrys-onion-output-rose-10-lakh-tonnes-abdus-shahid-tells-js-793070
Tk600 per kg beef brings Ramadan respite as govt begins subsidised sales,https://www.tbsnews.net/economy/bazaar/tk600-beef-kg-brings-ramadan-respite-govt-begins-subsidised-sales-807870
"Rice, chicken, eggs prices soar ",https://www.tbsnews.net/bangladesh/rice-chicken-eggs-prices-soar-935266
"Sale of loose soybean oil banned, campaign from 1 August: Official",https://www.tbsnews.net/economy/bazaar/sale-loose-soybean-oil-banned-campaign-1-august-official-672194
"Govt, private companies offer discounts on food essentials amid Ramadan",https://www.tbsnews.net/economy/bazaar/govt-private-companies-offer-discounts-food-essentials-amid-ramadan-808450
"TCB to launch Ramadan truck sales of rice, oil, pulses in divisional cities",https://www.tbsnews.net/economy/bazaar/tcb-sale-commodities-all-consumers-through-truck-8-divisional-cities-1066701
"Onion, potato prices to come down by mid-December: Commerce minister",https://www.tbsnews.net/economy/bazaar/onion-potato-prices-come-down-mid-december-commerce-minister-735710
"Domestic onion prices surge amid fewer imports, pre-Eid demand",https://www.tbsnews.net/economy/bazaar/domestic-onion-prices-surge-amid-fewer-imports-pre-eid-demand-865256
"Livestock ministry seeks funds to sell meat, eggs, milk at affordable prices in Ramadan at 25 points in Dhaka",https://www.tbsnews.net/economy/bazaar/livestock-ministry-seeks-funds-sell-meat-eggs-milk-affordable-prices-ramadan-25
Onion prices fall by Tk35-45 per kg in wholesale market,https://www.tbsnews.net/economy/bazaar/onion-prices-fall-tk35-45-kg-wholesale-market-646854
Govt to import 10.50 lakh tonnes of rice,https://www.tbsnews.net/economy/bazaar/govt-import-1050-lakh-tonnes-rice-993206
Drives to begin soon to control Hilsa price,https://www.tbsnews.net/economy/bazaar/consumer-rights-protection-body-launch-drives-control-spiralling-hilsa-prices-692430
22-day ban on hilsa fishing starts Friday,https://www.tbsnews.net/economy/bazaar/22-day-ban-hilsa-fishing-starts-friday-509566
Extortion in transports increases food prices ,https://www.tbsnews.net/economy/bazaar/extortion-transports-increases-food-prices-532566
Import curbs drive up spice prices,https://www.tbsnews.net/economy/bazaar/import-curbs-drive-spice-prices-557434
"Ramadan price spike eases: Onions, eggs lead drop in kitchen markets",https://www.tbsnews.net/economy/bazaar/ramadan-price-spike-eases-onions-eggs-lead-drop-kitchen-markets-811714
Govt to set prices of 9 essentials,https://www.tbsnews.net/economy/bazaar/govt-set-prices-9-essentials-486582
Tk280 watermelon being sold at Tk770 in Karwan Bazar! ,https://www.tbsnews.net/economy/bazaar/tk280-watermelon-being-sold-tk770-karwan-bazar-812786
